[Tue Jan 12 00:00:00 2016] LOG ROTATION: DAILY
[Tue Jan 12 00:00:00 2016] LOG VERSION: 2.0
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: nrpe;OK;HARD;1;TCP OK - 0,006 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_4.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;app :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;app :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.30 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svwebp18;so :: netstats;OK;HARD;1;All resources are OK
